School ID,School Name,Network,Subject,Grade,2014 # Tested,2014 % Students Making National Average Growth,2014 National School Growth Percentile,2015 # Tested,2015 % Students Making National Average Growth,2015 National School Growth Percentile,2016 # Tested,2016 % Students Making National Average Growth,2016 National School Growth Percentile
400020,CATALYST - HOWLAND,Charter,MATH,Grade 8,50,50,18,,,,,,
400020,CATALYST - HOWLAND,Charter,MATH,Grades 3-8 Combined,267,34.8,4,,,,,,
400020,CATALYST - HOWLAND,Charter,READING,Grade 3,53,34,1,,,,,,
400020,CATALYST - HOWLAND,Charter,READING,Grade 4,43,20.9,1,,,,,,
400020,CATALYST - HOWLAND,Charter,READING,Grade 5,44,36.4,11,,,,,,
400020,CATALYST - HOWLAND,Charter,READING,Grade 6,36,33.3,12,,,,,,
400020,CATALYST - HOWLAND,Charter,READING,Grade 7,43,30.2,5,,,,,,
400020,CATALYST - HOWLAND,Charter,READING,Grade 8,50,54,50,,,,,,
400020,CATALYST - HOWLAND,Charter,READING,Grades 3-8 Combined,269,35.3,2,,,,,,
400021,CATALYST - CIRCLE ROCK,Charter,MATH,Grade 3,57,19.3,1,56,55.4,51,58,46.6,26
400021,CATALYST - CIRCLE ROCK,Charter,MATH,Grade 4,58,20.7,1,54,55.6,90,57,33.3,10
400021,CATALYST - CIRCLE ROCK,Charter,MATH,Grade 5,50,54,68,55,65.5,80,55,65.5,75
400021,CATALYST - CIRCLE ROCK,Charter,MATH,Grade 6,55,40,19,54,20.4,1,54,31.5,17
400021,CATALYST - CIRCLE ROCK,Charter,MATH,Grade 7,52,32.7,13,51,64.7,82,50,46,46
400021,CATALYST - CIRCLE ROCK,Charter,MATH,Grade 8,57,24.6,1,54,70.4,90,52,32.7,9
400021,CATALYST - CIRCLE ROCK,Charter,MATH,Grades 3-8 Combined,329,31.3,6,324,55.2,65,326,42.6,28
400021,CATALYST - CIRCLE ROCK,Charter,READING,Grade 3,57,21.1,1,57,56.1,82,58,56.9,52
400021,CATALYST - CIRCLE ROCK,Charter,READING,Grade 4,58,34.5,2,54,64.8,99,57,70.2,99
400021,CATALYST - CIRCLE ROCK,Charter,READING,Grade 5,50,66,76,55,67.3,91,56,60.7,50
400021,CATALYST - CIRCLE ROCK,Charter,READING,Grade 6,55,63.6,80,54,57.4,50,54,61.1,84
400021,CATALYST - CIRCLE ROCK,Charter,READING,Grade 7,52,53.8,42,52,48.1,36,50,74,93
400021,CATALYST - CIRCLE ROCK,Charter,READING,Grade 8,57,38.6,5,54,72.2,86,52,51.9,54
400021,CATALYST - CIRCLE ROCK,Charter,READING,Grades 3-8 Combined,329,45.6,15,326,61,81,327,62.4,79
400023,CICS - AVALON/SOUTH SHORE,Charter,MATH,Grade 3,42,61.9,89,56,50,56,53,60.4,66
400023,CICS - AVALON/SOUTH SHORE,Charter,MATH,Grade 4,45,71.1,90,47,83,99,55,30.9,1
400023,CICS - AVALON/SOUTH SHORE,Charter,MATH,Grade 5,25,72,97,42,47.6,30,56,25,1
400023,CICS - AVALON/SOUTH SHORE,Charter,MATH,Grade 6,22,68.2,83,22,36.4,12,54,59.3,61
400023,CICS - AVALON/SOUTH SHORE,Charter,MATH,Grade 7,44,59.1,50,24,58.3,59,31,61.3,64
400023,CICS - AVALON/SOUTH SHORE,Charter,MATH,Grade 8,44,65.9,90,41,73.2,75,23,52.2,15
400023,CICS - AVALON/SOUTH SHORE,Charter,MATH,Grades 3-8 Combined,222,65.8,84,232,59.9,73,272,46.3,12
400023,CICS - AVALON/SOUTH SHORE,Charter,READING,Grade 3,43,25.6,1,55,76.4,98,53,39.6,1
400023,CICS - AVALON/SOUTH SHORE,Charter,READING,Grade 4,44,25,1,47,87.2,99,54,35.2,1
400023,CICS - AVALON/SOUTH SHORE,Charter,READING,Grade 5,26,73.1,96,42,73.8,98,56,44.6,1
400023,CICS - AVALON/SOUTH SHORE,Charter,READING,Grade 6,22,59.1,76,23,56.5,30,53,60.4,65
400023,CICS - AVALON/SOUTH SHORE,Charter,READING,Grade 7,45,66.7,92,25,68,99,31,61.3,79
400023,CICS - AVALON/SOUTH SHORE,Charter,READING,Grade 8,43,88.4,99,40,57.5,55,23,43.5,4
400023,CICS - AVALON/SOUTH SHORE,Charter,READING,Grades 3-8 Combined,223,54.7,60,232,72,97,270,46.7,6
400024,CICS - BASIL,Charter,MATH,Grade 3,67,35.8,18,72,43.1,20,82,40.2,19
400024,CICS - BASIL,Charter,MATH,Grade 4,69,36.2,22,75,64,76,82,62.2,77
400024,CICS - BASIL,Charter,MATH,Grade 5,67,49.3,60,78,39.7,15,60,51.7,28
400024,CICS - BASIL,Charter,MATH,Grade 6,46,60.9,53,67,43.3,22,66,51.5,53
400024,CICS - BASIL,Charter,MATH,Grade 7,41,87.8,99,53,88.7,99,69,66.7,78
400024,CICS - BASIL,Charter,MATH,Grade 8,45,80,99,39,76.9,98,53,32.1,6
400024,CICS - BASIL,Charter,MATH,Grades 3-8 Combined,335,54.3,67,384,56.3,61,412,51.5,42
400024,CICS - BASIL,Charter,READING,Grade 3,67,43.3,30,72,51.4,46,82,40.2,7
400024,CICS - BASIL,Charter,READING,Grade 4,69,50.7,27,76,53.9,27,81,61.7,78
